Model,Samples,Run,balanced_acc,f1_score,kappa,average_auroc,average_aupr
finetune_supervised_vae,50,0,0.48658463036401095,0.526478439344056,0.49280984774862324,,
finetune_supervised_vae,75,0,0.5452689111294718,0.5912098085607272,0.5687383330499441,,
finetune_supervised_vae,100,0,0.5219676761389397,0.5878117575031894,0.5736668403682474,,
finetune_supervised_vae,125,0,0.5523805151208576,0.6089724500524413,0.5886867670005537,,
finetune_supervised_vae,150,0,0.593981360606166,0.6457906995554088,0.6275788117875849,,
finetune_supervised_vae,0,0,0.44426484457468046,0.49569239269269627,0.48525107716852134,,
finetune_supervised_vae,175,0,0.5916739672610408,0.6397404981739632,0.6208810605942863,,
finetune_supervised_vae,200,0,0.615924975507307,0.6646108632398835,0.6415721964357879,,
finetune_supervised_vae,50,1,0.5512376833835031,0.5634786025705842,0.529225927442823,,
finetune_supervised_vae,75,1,0.5425206614509378,0.5775211568228569,0.5558743550252049,,
finetune_supervised_vae,100,1,0.5218664264006531,0.5593221327394681,0.5288304293317203,,
finetune_supervised_vae,125,1,0.5300741313010903,0.5902632390394925,0.5672044659836819,,
finetune_supervised_vae,0,1,0.4350365347698194,0.4874282119570285,0.47479973458220737,,
finetune_supervised_vae,150,1,0.568871290928118,0.6364549876194108,0.6185899953924193,,
finetune_supervised_vae,175,1,0.5498065930558562,0.62317626459906,0.6054398220522945,,
finetune_supervised_vae,200,1,0.5710065172678576,0.6339647946749372,0.6123155371745466,,
finetune_supervised_vae,50,2,0.44643668928158625,0.5042712808126679,0.4765080771501571,,
finetune_supervised_vae,75,2,0.5056961351632228,0.566702667934487,0.5302924392816746,,
finetune_supervised_vae,100,2,0.530588754962189,0.5952454213642284,0.56773410691386,,
finetune_supervised_vae,125,2,0.5438237807152074,0.5996890393862829,0.5841308610477992,,
finetune_supervised_vae,0,2,0.4496553902615491,0.4997625842394743,0.4899214355072987,,
finetune_supervised_vae,150,2,0.5549037390763893,0.6199624581579296,0.5998625640266626,,
finetune_supervised_vae,175,2,0.5505363356458157,0.613585087643428,0.5994438764531627,,
finetune_supervised_vae,200,2,0.5709047687546982,0.6375267755985934,0.6233687141117105,,
finetune_supervised_vae,50,3,0.5046730099555614,0.5539568032080868,0.508583308686049,,
finetune_supervised_vae,100,3,0.5326160016890781,0.6005355465357044,0.5647790451080416,,
finetune_supervised_vae,75,3,0.5324853705222916,0.5845325839134756,0.5424747297062655,,
finetune_supervised_vae,125,3,0.5660072198754371,0.6246488331362997,0.5966744554156931,,
finetune_supervised_vae,0,3,0.44423893812974097,0.49745034554902934,0.48834303276847757,,
finetune_supervised_vae,150,3,0.5387876941903312,0.6034385840290211,0.5792175475199486,,
finetune_supervised_vae,175,3,0.5933654429278838,0.6582398302835197,0.6392604340959465,,
finetune_supervised_vae,200,3,0.5781349150581916,0.6551275888350659,0.6357307575164252,,
finetune_supervised_vae,50,4,0.3517963348608488,0.3885513122855128,0.3918140508539881,,
finetune_supervised_vae,100,4,0.5389790496745541,0.6023921864719971,0.5763032411758613,,
finetune_supervised_vae,75,4,0.39845945940942123,0.4844281969471946,0.4668544062780715,,
finetune_supervised_vae,125,4,0.5678539644320059,0.6348963082258944,0.6135873363720776,,
finetune_supervised_vae,0,4,0.442164928545303,0.4960292909994842,0.4844823893069081,,
finetune_supervised_vae,150,4,0.5776232414549374,0.6340700147581383,0.6154575668409576,,
finetune_supervised_vae,175,4,0.6046257013179119,0.6560956829557424,0.635965835965836,,
finetune_supervised_vae,200,4,0.5728416796912978,0.6338450876483811,0.612404353728111,,
finetune_supervised_vae,50,5,0.46722983023093945,0.5207524480817284,0.496283028558709,,
finetune_supervised_vae,100,5,0.5191109042494951,0.5839985335490595,0.5570712090355054,,
finetune_supervised_vae,75,5,0.49477893245407795,0.5797427113471993,0.5592500754529701,,
finetune_supervised_vae,125,5,0.5187386199843897,0.6066549904768409,0.568610841110199,,
finetune_supervised_vae,0,5,0.443132657649123,0.4966871535053974,0.48539768269142824,,
finetune_supervised_vae,150,5,0.5815915001721899,0.652061222889808,0.6239280405534169,,
finetune_supervised_vae,175,5,0.5897326039179764,0.6573126079183463,0.6338074461637193,,
finetune_supervised_vae,200,5,0.5878227933624579,0.6615400349472392,0.6355859749282551,,
finetune_supervised_vae,50,6,0.4549903860612965,0.5518609883500348,0.5020308148215136,,
finetune_supervised_vae,100,6,0.4810011982632639,0.5619725561964275,0.5304922724012137,,
finetune_supervised_vae,125,6,0.5073839227775845,0.5908371836923973,0.5686858086603472,,
finetune_supervised_vae,75,6,0.49308652349048443,0.5792951793923506,0.5430338566710446,,
finetune_supervised_vae,0,6,0.4379464524754851,0.49596358527258766,0.48579735053065676,,
finetune_supervised_vae,150,6,0.5567281814674554,0.6324510444262875,0.6077565072631212,,
finetune_supervised_vae,175,6,0.5598452785102144,0.6353241897930645,0.6130752379690192,,
finetune_supervised_vae,200,6,0.5587734653308662,0.6400744354475316,0.6231635832785354,,
finetune_supervised_vae,50,7,0.4984991319473988,0.5511603965320129,0.5049664995751398,,
finetune_supervised_vae,100,7,0.5577702015921236,0.5911916501877472,0.55891999033762,,
finetune_supervised_vae,125,7,0.5602288776151769,0.5930996995431626,0.5675406528166056,,
finetune_supervised_vae,75,7,0.5407958166441684,0.5937140343983958,0.5562629167492394,,
finetune_supervised_vae,0,7,0.44352702536066574,0.4943912379676113,0.48407262321788014,,
finetune_supervised_vae,150,7,0.5634969235728264,0.6013142468394167,0.5736351272585972,,
finetune_supervised_vae,175,7,0.586852847201846,0.6206834647327194,0.6028421364733787,,
finetune_supervised_vae,200,7,0.5747485831609889,0.6305447980200725,0.6056900113570034,,
finetune_supervised_vae,50,8,0.5311852117720723,0.5774833163062392,0.5365841427501785,,
finetune_supervised_vae,100,8,0.5018600201471349,0.5385984568395469,0.5420073130022864,,
finetune_supervised_vae,125,8,0.5732100317088632,0.6012172898330861,0.6028553777187415,,
finetune_supervised_vae,75,8,0.5414645241847136,0.5986444071706118,0.5898594046493908,,
finetune_supervised_vae,0,8,0.4417004705100717,0.4925797569966777,0.48388946673038535,,
finetune_supervised_vae,150,8,0.5647868166839104,0.6050128608981837,0.5931055079321694,,
finetune_supervised_vae,175,8,0.4965696154410717,0.5676307616826303,0.5467246385792823,,
finetune_supervised_vae,200,8,0.5264488876446762,0.5910347671353442,0.5765499011061631,,
finetune_supervised_vae,50,9,0.4529105211367706,0.5132284728700669,0.48712808508605454,,
finetune_supervised_vae,100,9,0.4475700174909,0.5283439595627722,0.4866281347026511,,
finetune_supervised_vae,125,9,0.5458148969053471,0.6004001803280591,0.5568509122206544,,
finetune_supervised_vae,75,9,0.5175051300843977,0.596701312483999,0.5670697797347126,,
finetune_supervised_vae,0,9,0.443081860899935,0.4972321705555526,0.4870168960950354,,
finetune_supervised_vae,150,9,0.6510871675240545,0.6992910722185008,0.659790478671771,,
finetune_supervised_vae,175,9,0.6220055263712952,0.6690833147059928,0.6328332331361497,,
finetune_supervised_vae,200,9,0.6386873195875769,0.6809897583236042,0.6484070036956814,,
